Country,Age 0-9,Age 10-19,Age 20-29,Age 30-39,Age 40-49,Age 50-59,Age 60-69,Age 70-79,Age >80,# People,GDP,GDP per capta,Life expectancy,# Flight Passengers,"Hospital beds (per 1,000 people)",Population density (people per km²),Lockdown Level,Lockdown Start Date,Temperature Jan (ºC),Temperature Feb (ºC),Temperature Mar (ºC),Temperature Apr (ºC)
Mexico,22245383,22356958,21623928,18636625,16343173,12397493,7946332,4023962,1400068,12697.3922,2288306.07764452,9946.15799447644,74.947,64569640.0,1.7,66.4437233467939,0,,43.3,45.4,49.2,53.2
Colombia,7448799,8231614,8779218,7667022,6339173,5445614,3633308,1882391,643331,5007.047,661386.4103421291,7600.75914370259,76.925,33704037.0,2.57554721832275,44.2231771068049,3,2020-03-25,56.7,57.2,57.7,58.1
Sweden,1191245,1106232,1304961,1289302,1277210,1280608,1097278,967449,362698,987.6983,485917.330651525,56935.18827031559,82.516,,15.3000001907349,24.7176450369497,0,,5.6,5.0,11.0,18.8
Indonesia,47977486,46310084,43068836,41353654,37293402,28325635,16650777,7276648,1791671,27004.8193,3106463.10506791,4130.66327585856,71.282,115154100.909,0.9,145.725188096513,1,2020-03-26,61.2,61.4,61.7,62.3
Switzerland,875799,835663,1047321,1211148,1177086,1309842,953874,731996,307204,844.9933,505178.54040631105,76667.4440397307,83.473,28857994.0,19.8999996185,214.242762425347,0,,9.4,11.2,16.4,22.7
Singapore,473440,525276,841606,898862,965359,946886,762636,260127,92128,576.632,507996.30053994106,55235.512885934295,83.279,40401515.0,4.39246654510498,7915.7306064880095,3,2020-01-20,61.2,61.9,63.2,63.4
Canada,3960088,3974074,5110382,5204909,4797691,5260069,4598419,2876627,1119713,3690.1972,1633482.68566723,51315.8889749374,82.21,89380000.0,7.0,4.03673422033956,3,2020-03-16,-5.7,-2.3,6.8,19.6
India,236731829,252674336,238481457,212399683,165881490,125378954,84296275,37500685,9615035,136295.9744,9317083.07986574,1963.5463211294398,69.165,164035637.545,0.9,450.418616704617,3,2020-03-25,45.4,49.2,56.7,63.6
South Korea,4240885,4886624,6797905,7196849,8330006,8442921,6135717,3444643,1251462,5072.7012,1898964.98799204,26152.0307748563,82.62799999999999,88157579.0,12.3,527.966772671317,3,2020-02-01,12.3,15.5,24.0,35.1
France,7606630,7857054,7415448,8007883,8408482,8600917,7758713,5456311,2705071,6381.6509,2649716.9218767597,42567.7436477565,82.432,70188028.0,11.1000003814697,122.57837631516001,3,2020-03-17,27.8,27.8,27.8,32.4
